_c0|nome|nmec|email|password|tipo_utilizador
122|Lisandro|10123|lisandro@ua.pt|123|2
123|Erik|10124|erik@ua.pt|123|2
124|Cláudio|10125|cláudio@ua.pt|123|2
125|Heitor|10126|heitor@ua.pt|123|2
126|Martinho|10127|martinho@ua.pt|123|2
127|Leo|10128|leo@ua.pt|123|2
128|Jonas|10129|jonas@ua.pt|123|2
129|Wilson|10130|wilson@ua.pt|123|2
130|Júlio|10131|júlio@ua.pt|123|2
131|Caetano|10132|caetano@ua.pt|123|2
132|Benjamin|10133|benjamin@ua.pt|123|2
133|Adriano|10134|adriano@ua.pt|123|2
134|Raphael|10135|raphael@ua.pt|123|2
135|Augusto|10136|augusto@ua.pt|123|2
136|Martin|10137|martin@ua.pt|123|2
137|Marcos|10138|marcos@ua.pt|123|2
138|Eric|10139|eric@ua.pt|123|2
139|Flávio|10140|flávio@ua.pt|123|2
140|Mikael|10141|mikael@ua.pt|123|2
141|Erick|10142|erick@ua.pt|123|2
142|Jason|10143|jason@ua.pt|123|2
143|James|10144|james@ua.pt|123|2
144|Danilo|10145|danilo@ua.pt|123|2
145|Adam|10146|adam@ua.pt|123|2
146|Levi|10147|levi@ua.pt|123|2
147|Mateo|10148|mateo@ua.pt|123|2
148|Kelvin|10149|kelvin@ua.pt|123|2
149|Nicolas|10150|nicolas@ua.pt|123|2
150|Sebastian|10151|sebastian@ua.pt|123|2
151|Cauã|10152|cauã@ua.pt|123|2
152|Thomas|10153|thomas@ua.pt|123|2
153|Isaque|10154|isaque@ua.pt|123|2
154|Misael|10155|misael@ua.pt|123|2
155|Alberto|10156|alberto@ua.pt|123|2
156|Israel|10157|israel@ua.pt|123|2
157|Edson|10158|edson@ua.pt|123|2
158|Luan|10159|luan@ua.pt|123|2
159|Lukas|10160|lukas@ua.pt|123|2
160|Mark|10161|mark@ua.pt|123|2
161|Ruben|10162|ruben@ua.pt|123|2
162|Adriel|10163|adriel@ua.pt|123|2
163|Jesus|10164|jesus@ua.pt|123|2
164|Domingos|10165|domingos@ua.pt|123|2
165|Denzel|10166|denzel@ua.pt|123|2
166|Apolo|10167|apolo@ua.pt|123|2
167|Ary|10168|ary@ua.pt|123|2
168|Alan|10169|alan@ua.pt|123|2
169|Nicolau|10170|nicolau@ua.pt|123|2
170|Alfredo|10171|alfredo@ua.pt|123|2
171|Kévim|10172|kévim@ua.pt|123|2
172|Axel|10173|axel@ua.pt|123|2
173|Patrick|10174|patrick@ua.pt|123|2
174|Giovani|10175|giovani@ua.pt|123|2
175|Gerson|10176|gerson@ua.pt|123|2
176|Aron|10177|aron@ua.pt|123|2
177|Luis|10178|luis@ua.pt|123|2
178|Leonel|10179|leonel@ua.pt|123|2
179|Wesley|10180|wesley@ua.pt|123|2
180|Ari|10181|ari@ua.pt|123|2
181|Roberto|10182|roberto@ua.pt|123|2
182|Hélder|10183|hélder@ua.pt|123|2
183|Vitor|10184|vitor@ua.pt|123|2
184|Fausto|10185|fausto@ua.pt|123|2
185|Joshua|10186|joshua@ua.pt|123|2
186|Gael|10187|gael@ua.pt|123|2
187|Adonai|10188|adonai@ua.pt|123|2
188|Henry|10189|henry@ua.pt|123|2
189|Cristóvão|10190|cristóvão@ua.pt|123|2
190|Nathan|10191|nathan@ua.pt|123|2
191|Rogério|10192|rogério@ua.pt|123|2
192|Caleb|10193|caleb@ua.pt|123|2
193|Fabrício|10194|fabrício@ua.pt|123|2
194|Valentino|10195|valentino@ua.pt|123|2
195|Noé|10196|noé@ua.pt|123|2
196|Luka|10197|luka@ua.pt|123|2
197|Armando|10198|armando@ua.pt|123|2
198|Stefan|10199|stefan@ua.pt|123|2
199|Bartolomeu|10200|bartolomeu@ua.pt|123|2
200|Anthony|10201|anthony@ua.pt|123|2
201|Adrian|10202|adrian@ua.pt|123|2
202|Samir|10203|samir@ua.pt|123|2
203|Ravi|10204|ravi@ua.pt|123|2
204|Derick|10205|derick@ua.pt|123|2
205|Ryan|10206|ryan@ua.pt|123|2
206|Luciano|10207|luciano@ua.pt|123|2
207|Estêvão|10208|estêvão@ua.pt|123|2
208|Theo|10209|theo@ua.pt|123|2
209|Cristian|10210|cristian@ua.pt|123|2
210|Anderson|10211|anderson@ua.pt|123|2
211|Davide|10212|davide@ua.pt|123|2
212|Abel|10213|abel@ua.pt|123|2
213|Ezequiel|10214|ezequiel@ua.pt|123|2
214|Nataniel|10215|nataniel@ua.pt|123|2
215|Lucca|10216|lucca@ua.pt|123|2
216|Dominic|10217|dominic@ua.pt|123|2
217|Théo|10218|théo@ua.pt|123|2
218|Alexander|10219|alexander@ua.pt|123|2
219|Isaías|10220|isaías@ua.pt|123|2
220|Lopo|10221|lopo@ua.pt|123|2
221|Marcus|10222|marcus@ua.pt|123|2
222|Maxim|10223|maxim@ua.pt|123|2
223|Iúri|10224|iúri@ua.pt|123|2
224|Diniz|10225|diniz@ua.pt|123|2
225|Amadeu|10226|amadeu@ua.pt|123|2
226|Oscar|10227|oscar@ua.pt|123|2
227|Haniel|10228|haniel@ua.pt|123|2
228|Lázaro|10229|lázaro@ua.pt|123|2
229|Ulisses|10230|ulisses@ua.pt|123|2
230|Léo|10231|léo@ua.pt|123|2
231|Alexandru|10232|alexandru@ua.pt|123|2
232|Raul|10233|raul@ua.pt|123|2
233|Jessé|10234|jessé@ua.pt|123|2
234|Max|10235|max@ua.pt|123|2
235|Steven|10236|steven@ua.pt|123|2
236|Ernesto|10237|ernesto@ua.pt|123|2
237|Leon|10238|leon@ua.pt|123|2
238|Maurício|10239|maurício@ua.pt|123|2
239|Mohammad|10240|mohammad@ua.pt|123|2
240|Felipe|10241|felipe@ua.pt|123|2
241|Kendrick|10242|kendrick@ua.pt|123|2
242|Filip|10243|filip@ua.pt|123|2
243|Juliano|10244|juliano@ua.pt|123|2
244|Angélico|10245|angélico@ua.pt|123|2
245|Rubén|10246|rubén@ua.pt|123|2
246|Édi|10247|édi@ua.pt|123|2
247|Enrique|10248|enrique@ua.pt|123|2
248|Lourenzo|10249|lourenzo@ua.pt|123|2
249|Damien|10250|damien@ua.pt|123|2
250|Osvaldo|10251|osvaldo@ua.pt|123|2
251|Aléxis|10252|aléxis@ua.pt|123|2
252|Zion|10253|zion@ua.pt|123|2
253|Matteo|10254|matteo@ua.pt|123|2
254|Omar|10255|omar@ua.pt|123|2
255|Eduard|10256|eduard@ua.pt|123|2
256|Zayn|10257|zayn@ua.pt|123|2
257|Jayden|10258|jayden@ua.pt|123|2
258|Kenny|10259|kenny@ua.pt|123|2
259|Rubim|10260|rubim@ua.pt|123|2
260|Olavo|10261|olavo@ua.pt|123|2
261|Jonatã|10262|jonatã@ua.pt|123|2
262|Tierri|10263|tierri@ua.pt|123|2
263|Bogdan|10264|bogdan@ua.pt|123|2
264|Kenzo|10265|kenzo@ua.pt|123|2
265|Aaron|10266|aaron@ua.pt|123|2
266|Saulo|10267|saulo@ua.pt|123|2
267|Pietro|10268|pietro@ua.pt|123|2
268|Kai|10269|kai@ua.pt|123|2
269|Breno|10270|breno@ua.pt|123|2
270|Jair|10271|jair@ua.pt|123|2
271|Helder|10272|helder@ua.pt|123|2
272|Uriel|10273|uriel@ua.pt|123|2
273|Luiz|10274|luiz@ua.pt|123|2
274|Rayan|10275|rayan@ua.pt|123|2
275|Mohammed|10276|mohammed@ua.pt|123|2
276|Dante|10277|dante@ua.pt|123|2
277|Aiden|10278|aiden@ua.pt|123|2
278|Jackson|10279|jackson@ua.pt|123|2
279|Fred|10280|fred@ua.pt|123|2
280|Amir|10281|amir@ua.pt|123|2
281|Stephan|10282|stephan@ua.pt|123|2
282|Mamadou|10283|mamadou@ua.pt|123|2
283|Valdemar|10284|valdemar@ua.pt|123|2
284|Jóni|10285|jóni@ua.pt|123|2
285|Evan|10286|evan@ua.pt|123|2
286|Hazael|10287|hazael@ua.pt|123|2
287|Fabiano|10288|fabiano@ua.pt|123|2
288|Ibrahim|10289|ibrahim@ua.pt|123|2
289|Juan|10290|juan@ua.pt|123|2
290|Robert|10291|robert@ua.pt|123|2
291|Michael|10292|michael@ua.pt|123|2
292|Natanael|10293|natanael@ua.pt|123|2
293|Aayan|10294|aayan@ua.pt|123|2
294|Hélio|10295|hélio@ua.pt|123|2
295|Adilson|10296|adilson@ua.pt|123|2
296|Éder|10297|éder@ua.pt|123|2
297|Silvestre|10298|silvestre@ua.pt|123|2
298|Jordan|10299|jordan@ua.pt|123|2
299|Tito|10300|tito@ua.pt|123|2
300|Taylor|10301|taylor@ua.pt|123|2
301|Logan|10302|logan@ua.pt|123|2
302|Leonard|10303|leonard@ua.pt|123|2
303|Júnior|10304|júnior@ua.pt|123|2
304|Bento|10305|bento@ua.pt|123|2
305|Kévin|10306|kévin@ua.pt|123|2
306|Gui|10307|gui@ua.pt|123|2
307|Aryan|10308|aryan@ua.pt|123|2
308|Pablo|10309|pablo@ua.pt|123|2
309|Jónatas|10310|jónatas@ua.pt|123|2
310|Elvis|10311|elvis@ua.pt|123|2
311|Joabe|10312|joabe@ua.pt|123|2
312|Alonso|10313|alonso@ua.pt|123|2
313|Jefferson|10314|jefferson@ua.pt|123|2
314|Deivid|10315|deivid@ua.pt|123|2
315|Darius|10316|darius@ua.pt|123|2
316|Serigne|10317|serigne@ua.pt|123|2
317|Eli|10318|eli@ua.pt|123|2
318|Giovanni|10319|giovanni@ua.pt|123|2
319|Romão|10320|romão@ua.pt|123|2
